scientific_name,genome_name
Arthrobacter sp.,arl
Buchnera aphidicola,bua
Neisseria chenwenguii,nei
Yersinia intermedia,yin
Flavobacterium magnum,fmg
Thermomonas brevis,tbv
Francisella cf.,fcn
Salinivirga cyanobacteriivorans,blq
Synechococcus sp.,syw
Obesumbacterium proteus,opo
Rathayibacter rathayi,rry
Alpha proteobacterium,apc
Tetragenococcus halophilus,thl
Haliangium ochraceum,hoh
Chryseobacterium salivictor,csal
Legionella spiritensis,lss
Actinomyces sp.,actz
Dokdonia sp.,dod
Candidatus Kinetoplastibacterium,kct
Dehalococcoides mccartyi,dmy
Halomonas piezotolerans,hpiz
Mesorhizobium sp.,mesr
Acetivibrio clariflavus,ccl
Myxococcus macrosporus,mfu
Bartonella henselae,bhs
Flaviflexus ciconiae,flh
Rhodococcus rhodochrous,rrt
Caldilinea aerophila,cap
Bifidobacterium breve,bbrv
Kroppenstedtia pulmonis,kpul
Thermosynechococcus sp.,thec
Dehalococcoides mccartyi,dmc
Hymenobacter busanensis,hbn
Pigmentiphaga sp.,pig
Helicobacter pylori,hpw
Idiomarina sp.,idi
Aquirhabdus parva,mbah
Brachybacterium sp.,brx
Pseudarthrobacter sp.,psni
Candidatus Hodgkinia,hcd
Lactobacillus helveticus,lhh
Delftia sp.,del
Microbacterium sp.,mih
Parasphingorhabdus sp.,parj
Bradymonas sediminis,bsed
Brevibacillus formosus,bfm
Chlamydia trachomatis,ctw
Corynebacterium ulcerans,cuz
Porphyromonas endodontalis,pend
Bacillus amyloliquefaciens,bamf
Mycobacterium tuberculosis,mtd
Corynebacterium pseudotuberculosis,cop
Pseudomonas sp.,psed
Shewanella benthica,sbk
Chlamydia trachomatis,ctv
Corynebacterium diphtheriae,cdr
Candidatus Rhodoluna,rpla
Barnesiella viscericola,bvs
Candidatus Cyclonatronum,cprv
Streptococcus pneumoniae,spw
Eubacterium siraeum,esr
Phycicoccus endophyticus,pei
Capnocytophaga canimorsus,ccm
Marinobacter sp.,mbs
Kroppenstedtia eburnea,keb
Cycloclasticus sp.,cyy
Rickettsia bellii,rbe
Bacillus freudenreichii,bfd
Treponema peruense,tper
Collimonas pratensis,cpra
Azoarcus communis,acom
Tenacibaculum mesophilum,tmp
Helicobacter pylori,hpyb
Sulfurihydrogenibium azorense,saf
Mannheimia pernigra,mpeg
Halomonas meridiana,hmd
Oenococcus sicerae,osi
Mucilaginibacter gotjawali,mgot
Calothrix sp.,calo
Wolbachia endosymbiont,wcl
Sinomicrobium sp.,sinh
Arcanobacterium haemolyticum,ahe
Pseudomonas campi,pcam
Aromatoleum petrolei,apet
Candidatus Blochmannia,bchr
Desulfurispirillum indicum,din
Fuerstiella marisgermanici,fmr
Aeromonas veronii,avr
Mycoplasma capricolum,mcap
Ramlibacter tataouinensis,rta
Thermomonospora curvata,tcu
Chlamydia trachomatis,ctmj
Granulibacter bethesdensis,gbc
Dactylosporangium vinaceum,dvc
Lysobacter helvus,lhx
Pseudomonas muyukensis,pmuy
Chromobacterium haemolyticum,chae
Lacibacter sp.,lacs
Herbaspirillum rubrisubalbicans,hrb
Adlercreutzia equolifaciens,aeq
Sphaerochaeta coccoides,scc
Janthinobacterium sp.,jaz
Gimesia maris,gmr
Bdellovibrio bacteriovorus,bbat
Stenotrophomonas sp.,stem
Thermosipho sp.,thp
Synechococcus lividus,slw
Lutibacter profundi,lut
Brenneria nigrifluens,bng
Microlunatus phosphovorus,mph
Mahella australiensis,mas
Mycobacterium tuberculosis,mtx
Fusobacterium pseudoperiodonticum,fpd
Aquella oligotrophica,nba
Vulgatibacter incomptus,vin
Methylobacterium radiodurans,meti
Abiotrophia defectiva,adc
Arcobacter suis,asui
Yersinia kristensenii,ykr
Actinomyces gaoshouyii,actp
Francisella tularensis,ftn
Acinetobacter sp.,aci
Pseudomonas balearica,pbm
Streptomyces sp.,strc
Sphingobacterium sp.,sphe
Mycoplasma citelli,mcit
Mycobacterium florentinum,mfj
Rickettsia rickettsii,rrm
Actinoplanes ianthinogenes,aih
Mycobacterium intracellulare,mit
Enterobacter bugandensis,ebg
Methylobacter sp.,mesl
Massilia oculi,mtim
Pseudomonas simiae,pfw
Orrella marina,boz
Micavibrio aeruginosavorus,man
Alteromonas stellipolaris,aaw
Francisella tularensis,ftm
Mycobacterium avium,mav
Salinispora arenicola,saq
Francisella halioticida,fha
Wolbachia endosymbiont,weo
Francisella tularensis,ftr
Baumannia cicadellinicola,bci
Ornithobacterium rhinotracheale,orh
Prochlorococcus marinus,pmi
Geobacillus sp.,ggh
Borrelia afzelii,bafh
Paenibacillus borealis,pbd
Escherichia albertii,eal
Zhouia spongiae,zsp
Bacillus cereus,bcef
Faecalibacillus intestinalis,fit
Streptococcus pasteurianus,stb
Antarcticibacterium arcticum,anp
Polaribacter haliotis,phal
Dokdonia sp.,kdi
Clostridium lentocellum,cle
Rubrivivax gelatinosus,rge
Paenibacillus ihbetae,pib
Desulfurivibrio alkaliphilus,dak
Mannheimia varigena,mve
Malaciobacter halophilus,ahs
Haemophilus influenzae,hik
Cellulosimicrobium sp.,cet
Marisediminicola antarctica,mant
Enterococcus faecalis,efn
Atopobium sp.,atb
Actinopolyspora erythraea,aey
Chlamydia psittaci,chs
Aggregatibacter actinomycetemcomitans,aan
Borrelia garinii,bgn
Limnobacter sp.,limn
Megasphaera massiliensis,mmax
Candidatus Planktophila,plan
Streptococcus ruminantium,srq
Paenalcaligenes hominis,phn
Kangiella profundi,kpd
Rhodopseudomonas palustris,rpc
Trueperella pyogenes,tpy
Acinetobacter baumannii,abz
Lactococcus lactis,lla
Tepidanaerobacter acetatoxydans,tae
Rhodanobacter glycinis,rgl
Spiroplasma sp.,spit
Dictyoglomus turgidum,dtu
Mycoplasma ovis,mov
Mycobacterium tuberculosis,mtb
Bifidobacterium kashiwanohense,bks
Arcobacter butzleri,abu
Bacillus sp.,bacq
Ureaplasma parvum,upr
Streptococcus pneumoniae,snx
Butyrivibrio fibrisolvens,bfi
Thermodesulfatator indicus,tid
Staphylococcus pettenkoferi,spet
Desulfonema limicola,dli
Sphingobacterium sp.,sphn
Pseudodesulfovibrio cashew,psel
Cellulomonas gilvus,cga
Microbacterium oleivorans,moo
Neisseria meningitidis,nmi
[Enterobacter] lignolyticus,kle
Candidatus Purcelliella,ppet
MAG: Ferrovum,fmy
Aureliella helgolandensis,ahel
Lactobacillus plantarum,lps
Caldicellulosiruptor hydrothermalis,chd
Porphyromonas asaccharolytica,pah
MAG: Rhodoblastus,rhj
Beta proteobacterium,bprc
Sorangium cellulosum,scl
Thioalkalivibrio versutus,tvr
Xanthomonas campestris,xca
Bifidobacterium longum,bln
Phreatobacter cathodiphilus,phr
Helicobacter pylori,hpyc
Devosia salina,dsal
Listeria monocytogenes,lmoe
Paenibacillus stellifer,pste
Microbacterium sp.,mim
Alcaligenes ammonioxydans,aamm
Pirellula staleyi,psl
Listeria monocytogenes,lmon
Corynebacterium pseudotuberculosis,cpx
Campylobacter ornithocola,coj
Staphylococcus delphini,sdp
Pseudomonas sp.,psos
Tenuifilum thalassicum,ttz
Mucilaginibacter gossypii,mgos
Hippea maritima,hmr
Marinomonas primoryensis,mpri
Lawsonibacter asaccharolyticus,lasa
Pectobacterium atrosepticum,patr
Hydrogenobaculum sp.,hya
Campylobacter sputorum,cspf
Rhodospirillum centenum,rce
Bacillus amyloliquefaciens,bya
Actinobacillus succinogenes,asu
Streptococcus ferus,sfer
Corynebacterium diphtheriae,cdp
Stappia indica,siw
Sulfurospirillum barnesii,sba
Myxococcus xanthus,mxa
Erysipelothrix rhusiopathiae,ers
Altererythrobacter marensis,amx
Alteromonas mediterranea,amad
Lactobacillus rhamnosus,lro
Neisseria dentiae,ndn
Streptococcus thermophilus,stl
Entomomonas moraniae,emo
Limnobaculum parvum,lpv
Curtobacterium sp.,cum
Veillonella nakazawae,vnk
Methylomonas paludis,mpad
Sporosarcina pasteurii,spae
Marinobacter psychrophilus,mpq
Bradyrhizobium sp.,brad
Neisseria meningitidis,nmx
Pseudomonas trivialis,ptv
Pectobacterium carotovorum,pcv
Serinicoccus hydrothermalis,serj
Elizabethkingia anophelis,een
Haemophilus influenzae,hic
Psychromonas sp.,psy
Acetivibrio thermocellus,cth
Enterobacter cloacae,eclg
Spirosoma radiotolerans,srd
Thermotoga neapolitana,tna
Bacillus halotolerans,bht
Amycolatopsis mediterranei,amm
Candidatus Absconditicoccus,aprd
Nonlabens ponticola,noj
Synechococcus sp.,sye
Saccharomonospora viridis,svi
Chlorobaculum limnaeum,clz
Campylobacter fetus,camp
Streptococcus iniae,sik
Erythrobacter litoralis,eli
Halotalea alkalilenta,haa
Pseudomonas citronellolis,pcq
Listeria monocytogenes,lmot
Cyclobacterium marinum,cmr
Streptococcus pneumoniae,sni
Mycolicibacterium phocaicum,mphu
Campylobacter hepaticus,chw
Candidatus Nanopelagicus,nab
Moorella thermoacetica,mtho
Beutenbergia cavernae,bcv
Actinosynnema mirum,ami
Bacteroides helcogenes,bhl
Bibersteinia trehalosi,btre
Anaerocolumna sedimenticola,anr
Streptomyces albulus,sall
Thermoanaerobacter sp.,thx
Candidatus Sodalis,pes
complete chromosome,apal
Streptococcus constellatus,scos
Serratia symbiotica,ssz
Ehrlichia chaffeensis,echv
Spirosoma sp.,spik
Campylobacter lanienae,clx
Actinobacillus lignieresii,alig
Avibacterium paragallinarum,apag
Parabacteroides sp.,parc
Aliarcobacter thereius,athr
Mycoplasma bovis,mbq
Kitasatospora albolonga,kab
Enterobacter sp.,lni
Streptococcus suis,sui
Pseudomonas shahriarae,pshh
Pseudogulbenkiania sp.,pse
Bradyrhizobium symbiodeficiens,bsym
Kangiella koreensis,kko
Mixta calida,pcd
Staphylococcus lutrae,slz
Bacillus cellulosilyticus,bco
Pseudomonas azotoformans,pazo
Streptococcus dysgalactiae,sdc
Pseudomonas pseudoalcaligenes,ppse
Stenotrophomonas sp.,sten
Bdellovibrio sp.,bdz
Paenibacillus tianjinensis,ptj
Rodentibacter haemolyticus,rhae
Actinobacillus suis,ass
Methylotuvimicrobium buryatense,mbur
Endosymbiont of,eaa
Colwellia psychrerythraea,cps
Bacillus glycinifermentans,bgy
Sphingobacterium psychroaquaticum,spsc
Treponema rectale,trc
Chitinophaga sp.,chit
Spiroplasma mirum,smia
Pseudomonas aeruginosa,paes
Trueperella pecoris,tpec
Marinobacter hydrocarbonoclasticus,mhc
Candidatus Syntrophocurvum,salq
Pirellulimonas nuda,pnd
Streptomyces lividans,slv
Nautilia profundicola,nam
Atlantibacter hermannii,ahn
Quatrionicoccus australiensis,qau
Lactobacillus helveticus,lhr
Thermomonas aquatica,thes
Neisseria meningitidis,nmw
Halomonas venusta,hvn
Salicibibacter cibi,scib
Erythrobacter litoralis,elq
Bifidobacterium breve,bbru
Mannheimia haemolytica,mhaq
Alcaligenes aquatilis,aaqu
Weissella paramesenteroides,wpa
Streptococcus pneumoniae,spv
Carboxydocella thermautotrophica,cthm
Geobacter uraniireducens,gur
Streptomyces buecherae,sby
Methylomusa anaerophila,mana
Spiribacter curvatus,spiu
Ehrlichia canis,ecn
Bisgaardia hudsonensis,bhud
Bifidobacterium bifidum,bbp
Pasteurella multocida,pmul
Aeromonas hydrophila,ahy
UNVERIFIED: Achromobacter,axn
Corynebacterium choanae,ccho
Opitutus terrae,ote
Oleiharenicola sp.,ole
Aerosticca soli,rbd
Streptococcus gordonii,sgo
Bifidobacterium animalis,bls
Helicobacter pylori,hef
Mycoplasma haemofelis,mha
Flavobacterium columnare,fco
Bremerella volcania,bvo
Polaribacter vadi,pob
Blautia hansenii,bhan
Lactobacillus acetotolerans,lae
Magnetospirillum sp.,magn
Rickettsia canadensis,rcc
Luteimicrobium xylanilyticum,lxl
Ehrlichia ruminantium,eru
Caldicellulosiruptor changbaiensis,ccha
Fictibacillus arsenicus,far
Desulfitobacterium hafniense,dhd
Metamycoplasma cloacale,mclo
Francisella philomiragia,fpt
Riemerella anatipestifer,rar
Bifidobacterium animalis,blc
Sediminicola sp.,syi
Anaplasma phagocytophilum,apy
Streptomyces lincolnensis,sls
Sorangium cellulosum,scu
Mesorhizobium sp.,mesm
Buchnera aphidicola,bup
Methylocella silvestris,msl
Chlamydia trachomatis,ctl
Candidatus Mycoplasma,mhb
Bordetella pertussis,bpeu
Arcobacter ellisii,aell
Chryseobacterium gallinarum,cgn
Candidatus Portiera,ple
Pseudomonas stutzeri,psa
Janthinobacterium sp.,mms
Desulfovibrio vulgaris,dvm
Chlamydophila pneumoniae,cpj
Shewanella litorisediminis,slit
Yersinia canariae,yca
Streptomyces rubrolavendulae,srn
Streptomyces scabiei,scb
Capnocytophaga leadbetteri,clk
Faecalibacterium prausnitzii,fpra
Chlamydia psittaci,chc
Bacillus cereus,bcb
Roseburia intestinalis,rim
Christensenella minuta,cmiu
Ruminococcus sp.,rum
Actinomyces viscosus,avc
Echinicola vietnamensis,evi
Sinorhizobium fredii,sfd
Flavobacteriaceae bacterium,fba
Lysobacter sp.,lyt
Staphylococcus aureus,saus
Lactobacillus apis,lapi
Diaphorobacter ruginosibacter,drg
Gordonia amarae,gam
Acinetobacter equi,aei
Croceibacter atlanticus,cat
Corynebacterium pseudotuberculosis,cou
strain 284/09,psol
Mycobacterium sp.,mmm
Alcanivorax xenomutans,axe
Shewanella violacea,svo
Enterococcus silesiacus,ess
Betaproteobacteria bacterium,beba
Keratinibaculum paraultunense,kpar
Mycoplasma hyopneumoniae,mhyl
Pseudomonas fakonensis,pfak
Psychroflexus torquis,ptq
Pseudomonas aeruginosa,pag
Legionella endosymbiont,les
Methylocaldum marinum,mmai
Chlamydia trachomatis,ctec
Microbacterium caowuchunii,mcaw
Nitrosomonas europaea,neu
Massilia flava,mfla
Entomobacter blattae,ebla
Neisseria meningitidis,nmz
Nonlabens dokdonensis,ndo
Virgibacillus necropolis,vne
Coprococcus sp.,coo
Pimelobacter simplex,psim
Oxynema aestuarii,oxy
Bacillus velezensis,bamy
Malaciobacter pacificus,apai
Acidaminococcus fermentans,afn
Urechidicola croceus,lul
Laribacter hongkongensis,lhk
Bacteroides vulgatus,bvu
Kitasatospora setae,ksk
Cellulophaga lytica,clh
Agromyces archimandritae,aarc
Aeoliella mucimassa,amuc
Legionella clemsonensis,lcd
Legionella cherrii,lcj
Arcobacter aquimarinus,aaqi
Paraflavitalea soli,pseg
Campylobacter concisus,ccoc
Rickettsia slovaca,rsv
Oceanihabitans sp.,oci
Achromobacter denitrificans,adt
Paenibacillus polymyxa,ppy
Microbacterium sp.,mip
Treponema brennaborense,tbe
Apilactobacillus bombintestini,abom
Rickettsia philipii,rph
Streptococcus uberis,sub
Euzebyella marina,emar
Candidatus Arthromitus,aso
Pseudomonas xanthosomae,pxa
Saccharopolyspora erythraea,sen
Luteitalea pratensis,abac
Boudabousia tangfeifanii,avu
Aminipila butyrica,abut
Pandoraea thiooxydans,ptx
Sandaracinus amylolyticus,samy
Mycoplasmopsis phocirhinis,mphi
Corynebacterium provencense,cpre
Pseudomonas savastanoi,psav
Massilia plicata,mpli
Gordonia jinghuaiqii,gji
Thermosulfurimonas marina,tmai
Comamonas thiooxydans,ctt
Weissella ceti,wct
Xanthomonas vasicola,xva
Luteimonas chenhongjianii,lum
Actinoalloteichus hoggarensis,ahg
Streptococcus agalactiae,sagg
Aquihabitans sp.,aqz
Oceanisphaera profunda,opf
Candidatus Sulfurimonas,smas
Corynebacterium urogenitale,cuo
Roseburia intestinalis,rix
Bradyrhizobium sp.,brc
Yersinia ruckeri,yru
Xylanimonas protaetiae,xya
Kutzneria albida,kal
Cobetia marina,cmai
Periweissella cryptocerci,wei
Neisseria gonorrhoeae,ngo
Rufibacter sp.,rud
Pasteurella dagmatis,pdag
Chloroflexus aurantiacus,cau
Cellvibrio sp.,ceb
Dermabacter vaginalis,dva
Haemophilus influenzae,hiw
Dermatophilus congolensis,dco
Streptomyces prasinus,spra
Bacillus beveridgei,bbev
Streptococcus urinalis,surn
Sporosarcina sp.,spor
Gloeobacter violaceus,gvi
Desulfosarcina alkanivorans,dalk
Pseudomonas cichorii,pci
Bombilactobacillus bombi,lbm
Brachyspira pilosicoli,bpj
Lacunisphaera limnophila,obg
Lactobacillus johnsonii,ljn
Gilliamella apicola,gap
Virgibacillus pantothenticus,vpt
Thermotoga maritima,tmq
Streptococcus suis,ssk
Oxalobacter formigenes,ofo
Corynebacterium glutamicum,cgb
Leptolyngbya sp.,lep
Methylorubrum extorquens,mex
Dehalogenimonas sp.,dew
Alteromonas mediterranea,amag
Bartonella elizabethae,bez
Ephemeroptericola cinctiostellae,hyf
Anaplasma marginale,amp
Microcystis aeruginosa,mar
Planctomyces sp.,pls
Janibacter limosus,jli
Caulobacter mirabilis,cmb
Leuconostoc gelidum,lge
Neisseria elongata,nel
Francisella tularensis,fta
Serratia plymuthica,sry
Desulfobacca acetoxidans,dao
Novibacillus thermophilus,ntr
Bradyrhizobium diazoefficiens,bja
Nonomuraea sp.,noa
Elizabethkingia anophelis,eao
Streptomyces koyangensis,sky
Caenibius tardaugens,ntd
Otariodibacter oris,ooi
Weissella soli,wso
Hydrogenobaculum sp.,hys
Clostridium botulinum,cbj
Alteromonas mediterranea,amc
Helicobacter typhlonius,hty
Pseudoclavibacter sp.,psev
Streptococcus chenjunshii,schj
Candidatus Profftia,ptf
Cellulophaga lytica,cly
Aliarcobacter skirrowii,ask
Streptomyces viridifaciens,svr
Candidatus Saccharibacteria,sbag
Aquirufa nivalisilvae,psez
Acidobacterium capsulatum,aca
Delftia tsuruhatensis,dts
Mycobacterium tuberculosis,mtuh
Echinicola strongylocentroti,est
Neisseria sicca,nsc
Bifidobacterium catenulatum,bcat
Polaribacter sp.,pom
Panacibacter ginsenosidivorans,pgin
Companilactobacillus zhachilii,lzh
Desulfuromonas sp.,deu
Maize bushy,mbp
Simonsiella muelleri,smur
Terriglobus albidus,talb
Corynebacterium pseudotuberculosis,cpq
Brevundimonas diminuta,bdm
Serratia rhizosphaerae,srhz
Leucobacter insecticola,lins
Mycobacterium africanum,maf
Streptococcus pyogenes,spj
Parvularcula bermudensis,pbr
Mycoplasma genitalium,mgx
Elizabethkingia sp.,elt
Arcobacter defluvii,adz
Bacillus paralicheniformis,blh
Streptomyces roseirectus,sroi
Salinimonas marina,smaa
Mannheimia haemolytica,mhq
Fimbriimonas ginsengisoli,fgi
Leucobacter triazinivorans,ltr
Burkholderia pseudomallei,bpr
Pulveribacter suum,melm
Streptococcus pantholopis,spat
Sphingobacterium sp.,sht
Mycobacteroides abscessus,mmv
Pseudoprevotella muciniphila,alq
Sphingobium phenoxybenzoativorans,spph
Lactobacillus paracasei,lcb
Kosakonia sacchari,ksa
Campylobacter jejuni,cjw
Radiobacillus deserti,aqt
Paenibacillus polymyxa,ppol
Treponema primitia,tpi
Pandoraea apista,papi
Thalassospira indica,tii
Ilumatobacter coccineus,aym
Mycoplasma suis,mss
Eubacterium cylindroides,euc
Leifsonia xyli,lxx
Wolbachia endosymbiont,wes
Spiroplasma clarkii,scla
Elioraea tepida,elio
Prosthecochloris sp.,proc
Nocardia iowensis,nie
Actinobacillus indolicus,aio
Chromobacterium paludis,chrm
Leptothermofonsia sichuanensis,lsk
Candidatus Vesicomyosocius,vok
Chlamydia trachomatis,ctr
Streptococcus pneumoniae,snc
Mycoplasma putrefaciens,mput
Bacillus sp.,bacw
Flavobacterium covae,fcv
Ehrlichia chaffeensis,echp
Pseudomonas asgharzadehiana,pasg
Abyssicoccus albus,sbac
Pelobacter carbinolicus,pca
Rathayibacter tanaceti,rte
Pseudomonas versuta,ppsy
Prochlorococcus marinus,pmb
Listeria monocytogenes,lmoz
Wenyingzhuangia fucanilytica,wfu
Chryseobacterium taihuense,ctai
Pseudomonas protegens,ppro
Streptomyces albidoflavus,salb
Corynebacterium ulcerans,cul
Candidatus Desulfovibrio,dtr
Caulobacter flavus,cfh
Immundisolibacter cernigliae,gbi
Azorhizobium caulinodans,azc
Lactococcus garvieae,lgv
Escherichia coli,edh
Pseudomonas putida,ppb
Allofrancisella inopinata,aii
Legionella pneumophila,lpe
Streptococcus mutans,smc
Iocasia fonsfrigidae,ifn
Cellulomonas shaoxiangyii,celz
Chlamydia muridarum,cmur
Nocardia seriolae,nsr
Nitrosomonas communis,nco
Thermoanaerobacter italicus,tit
Paenibacillus sp.,paef
Rhodocytophaga rosea,rhoz
Streptomyces sp.,strd
Bordetella bronchiseptica,bbx
Alkaliphilus oremlandii,aoe
Chryseobacterium arthrosphaerae,carh
Corynebacterium ulcerans,cus
Devosia sp.,dei
Thermosulfuriphilus ammonigenes,tav
Erysipelothrix sp.,erd
Rhodobiaceae bacterium,rbs
Sphingomonas rhizophila,srhi
Hahella sp.,hahe
Aeromonas hydrophila,aaj
Sphingomonas xanthus,sxa
Agromyces badenianii,agm
Rathayibacter iranicus,ria
Chryseobacterium lactis,clac
Gordonibacter pamelaeae,gpa
Listeria monocytogenes,lmow
Lactobacillus heilongjiangensis,lhi
[Eubacterium] hallii,ehl
Corynebacterium pseudotuberculosis,cpsu
Azoarcus sp.,azi
Acidithiobacillus ferrooxidans,afr
Thermosipho melanesiensis,tme
Cellvibrio japonicus,cja
Pseudomonas knackmussii,pkc
Algoriphagus sanaruensis,alm
Oenococcus oeni,ooe
Petrotoga mobilis,pmo
Sedimentibacter sp.,sedz
Bulleidia sp.,bull
Polaromonas sp.,pos
Salinimonas sediminis,salm
Bacillus subtilis,bsut
Escherichia coli,ebe
Muricauda ruestringensis,mrs
Spiroplasma alleghenense,salx
Bacillus pumilus,bpu
Gemella sp.,got
Candidatus Moranella,men
Candidatus Methylopumilus,mbac
Sphingomonas suaedae,ssua
Paralysiella testudinis,ptes
Thermoanaerobacterium xylanolyticum,txy
Neptunomonas japonica,njp
Chlamydia trachomatis,cthj
Thermotoga sp.,trq
Mucilaginibacter celer,muh
Bifidobacterium breve,bbrj
Maribacter sp.,fbc
Wolbachia endosymbiont,web
Serratia sp.,sra
Elizabethkingia meningoseptica,emg
Brevundimonas goettingensis,bgoe
Lysinibacillus sp.,lyg
Helicobacter pylori,hpo
Haemophilus somnus,hsm
MAG: candidate,tmg
Pseudomonas salmasensis,psam
Brachyspira pilosicoli,bpip
Leptolyngbya sp.,let
Raoultella ornithinolytica,ror
Streptococcus pneumoniae,spp
Geobacillus subterraneus,gsr
Mycoplasma californicum,mcm
Candidatus Phytoplasma,pal
Rickettsiales endosymbiont,ren
Pediococcus pentosaceus,ppen
Pseudomonas mendocina,pmk
Mycobacterium tuberculosis,mti
Prevotella ruminicola,pru
Brevundimonas mediterranea,bmed
Gallionella capsiferriformans,gca
Streptomyces subrutilus,ssub
Candidatus Atelocyanobacterium,cyu
Microbacterium testaceum,mts
Xanthomonas oryzae,xop
Streptococcus iniae,siz
Mycobacterium noviomagense,mnv
Mycoplasma gallisepticum,mgt
Hypericibacter adhaerens,hadh
Candidatus Minimicrobia,mvl
Maribacter sp.,mare
Treponema parvum,tpav
Pseudomonas alcaliphila,pall
Shewanella yunxiaonensis,syk
Gemmata sp.,ges
Anaerococcus vaginalis,avg
Alkaliphilus metalliredigens,amt
Legionella pneumophila,lpm
Shewanella polaris,spol
Dokdonella koreensis,dko
Curtobacterium sp.,cub
Listeria seeligeri,lsg
Francisella tularensis,ftw
Hydrogenovibrio marinus,hmar
Bifidobacterium breve,bbrn
Kibdelosporangium phytohabitans,kphy
Anaeromyxobacter sp.,afw
Hymenobacter sp.,hrs
Bradyrhizobium arachidis,barh
Helicobacter pylori,hpm
Campylobacter jejuni,cju
Streptococcus anginosus,sang
Arcobacter butzleri,abl
Streptococcus australis,saup
Paenibacillus graminis,pgm
Candidatus Midichloria,mmn
Aneurinibacillus sp.,anx
Abyssogena phaseoliformis,aphf
Mycolicibacterium mucogenicum,mmuc
Streptomyces angustmyceticus,sanu
Sphingosinithalassobacter tenebrarum,spzr
Micromonospora craniellae,mcra
Leuconostoc mesenteroides,lmk
Pseudomonas cremoricolorata,psw
Bifidobacterium subtile,bsue
Candidatus Sulcia,smup
Candidatus Portiera,ply
Pseudomonas iranensis,pie
Tichowtungia aerotolerans,taer
Phenylobacterium parvum,phb
Microvirga thermotolerans,mico
Thermosipho ferrireducens,tfe
Streptococcus thermophilus,stu
Bacillus shivajii,bshi
Neisseria meningitidis,nme
Pseudomonas anuradhapurensis,panh
Aquimarina sp.,aqb
Thermotoga sp.,thz
Mesoplasma coleopterae,mcol
Riemerella anatipestifer,rae
Humibacter sp.,huw
Dehalobacter sp.,dec
Thermoanaerobacter mathranii,tmt
Pseudomonas putida,ppf
Rhodopseudomonas palustris,rpe
Eubacterium siraeum,esu
Mangrovivirga cuniculi,fpf
Microbacterium lushaniae,mlz
Riemerella anatipestifer,rat
Spiroplasma chrysopicola,scr
Microcystis sp.,miq
Tessaracoccus defluvii,tdf
Salinisphaera sp.,saln
Corynebacterium diphtheriae,cdb
Actinomyces sp.,acq
Pedobacter cryoconitis,pcm
Psychroserpens sp.,psyn
Lactobacillus reuteri,lrr
Kosmotoga olearia,kol
Pseudoxanthomonas mexicana,pmex
Pseudomonas aeruginosa,pnc
Mumia sp.,muz
Virgibacillus sp.,vim
Escherichia coli,ecp
Cellulomonas sp.,celh
Lactobacillus rhamnosus,lrc
Sulfurimonas sp.,sulc
Streptococcus pyogenes,spm
Streptococcus pneumoniae,snd
Lelliottia amnigena,laz
Celeribacter marinus,cmar
Paenibacillus tritici,ptri
Anaplasma marginale,amw
Fermentimonas caenicola,pbt
Staphylococcus lloydii,sllo
Rosistilla oblonga,rol
Corynebacterium lizhenjunii,cliz
Frankia inefficax,fri
Janthinobacterium agaricidamnosum,jag
Mannheimia haemolytica,mhae
Gordonia terrae,gta
Nitrosospira lacus,nlc
Acholeplasma oculi,aoc
Candidatus Methylomirabilis,mox
Prochlorococcus marinus,pmc
Richelia sinica,rsin
Paenibacillus chitinolyticus,pchi
Kluyvera genomosp.,kgo
Caulobacter crescentus,ccr
Alkalihalobacillus gibsonii,bgi
Acinetobacter guillouiae,agu
Synechococcus sp.,synk
Francisella tularensis,ftz
Thermosynechococcus sp.,thn
Bacillus infantis,bif
Entomoplasma freundtii,efr
Methylomonas methanica,mmt
Frankia alni,fal
Slackia heliotrinireducens,shi
Blastococcus saxobsidens,bsd
Acinetobacter indicus,aid
Verrucomicrobia bacterium,vbs
Pseudomonas rhodesiae,prx
Limnohabitans sp.,lim
Mycolicibacterium sediminis,msei
Listeria monocytogenes,lmh
Desulfoglaeba alkanexedens,dax
Echinicola soli,echi
Bifidobacterium animalis,bbc
Corynebacterium yudongzhengii,cyz
Psychrosphaera ytuae,psym
Bradyrhizobium amphicarpaeae,brq
Neorickettsia sennetsu,nse
Tannerella forsythia,tfo
Guyparkeria halophila,ghl
Nocardia cyriacigeorgica,ncy
Actinomyces sp.,actc
Marinobacter sp.,mlq
Planctomycetes bacterium,uam
Rhodopseudomonas palustris,rpx
Streptococcus pyogenes,spya
Escherichia coli,eck
Pseudomonas rhizosphaerae,prh
Proteus vulgaris,pvg
Mucinivorans hirudinis,rbc
Longicatena caecimuris,lcg
Psychrobacter arcticus,par
Roseitalea porphyridii,rpod
Faecalibaculum rodentium,fro
Sulfurifustis variabilis,sva
Rhodoferax aquaticus,rhg
Bacillus subtilis,bacl
Taylorella asinigenitalis,tat
Eggerthella guodeyinii,egd
Rhodococcus pyridinivorans,rby
Dehalococcoides mccartyi,dev
Bifidobacterium dentium,bdn
Ferrigenium kumadai,fku
Klebsiella variicola,kva
Flavobacterium psychrophilum,fpv
Halorhodospira halophila,hha
Thauera chlorobenzoica,tcl
Marinomonas foliarum,mfoi
Lactobacillus plantarum,lpj
Alistipes sp.,ald
Mucilaginibacter ginsenosidivorans,mgin
Streptomyces bathyalis,sbat
Streptococcus intermedius,sib
